Country,Date,One-dose,Total-Vaccinated,Percentage-Population-Vaccinated,source
ARE,2021-03-16,6668627,,,https://covid19.ncema.gov.ae/en/page/about-the-vaccine
ARE,2021-03-25,7603328,,,https://covid19.ncema.gov.ae/en/page/about-the-vaccine
BHR,2021-03-16,361241,219298,,https://healthalert.gov.bh/en/category/daily-covid-19-report
BHR,2021-03-24,452551,242128,,https://healthalert.gov.bh/en/category/daily-covid-19-report
DZA,,,,,
EGY,,,,,
IRQ,20121-03-16,16872,700,,https://app.powerbi.com/view?r=eyJrIjoiYTU2NTBlMWMtYjgxYS00OTJmLTgzYzctMWFmNDZkOTUwM2JhIiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
IRQ,20121-03-17,16943,700,,https://app.powerbi.com/view?r=eyJrIjoiYTU2NTBlMWMtYjgxYS00OTJmLTgzYzctMWFmNDZkOTUwM2JhIiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
IRQ,20121-03-18,17064,700,,https://app.powerbi.com/view?r=eyJrIjoiYTU2NTBlMWMtYjgxYS00OTJmLTgzYzctMWFmNDZkOTUwM2JhIiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
IRQ,20121-03-19,17064,700,,https://app.powerbi.com/view?r=eyJrIjoiYTU2NTBlMWMtYjgxYS00OTJmLTgzYzctMWFmNDZkOTUwM2JhIiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
IRQ,20121-03-20,17118,700,,https://app.powerbi.com/view?r=eyJrIjoiYTU2NTBlMWMtYjgxYS00OTJmLTgzYzctMWFmNDZkOTUwM2JhIiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
IRQ,20121-03-21,17118,700,,https://app.powerbi.com/view?r=eyJrIjoiYTU2NTBlMWMtYjgxYS00OTJmLTgzYzctMWFmNDZkOTUwM2JhIiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
IRQ,20121-03-22,17151,700,,https://app.powerbi.com/view?r=eyJrIjoiYTU2NTBlMWMtYjgxYS00OTJmLTgzYzctMWFmNDZkOTUwM2JhIiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
IRQ,20121-03-23,17212,749,,https://app.powerbi.com/view?r=eyJrIjoiYTU2NTBlMWMtYjgxYS00OTJmLTgzYzctMWFmNDZkOTUwM2JhIiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
IRQ,20121-03-24,17335,851,,https://app.powerbi.com/view?r=eyJrIjoiYTU2NTBlMWMtYjgxYS00OTJmLTgzYzctMWFmNDZkOTUwM2JhIiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
ISR,2021-03-16,5200000,4300000,,
JOR,,,,,
KWT,2021-03-16,360000,,,
LBN,,,,,
LBY,,,,,
MAR,2021-03-16,4236386,1960996,,https://www.facebook.com/ministere.sante.ma
MAR,2021-03-17,4344651,2116081,,https://www.facebook.com/ministere.sante.ma
MAR,2021-03-18,4252723,2246753,,https://www.facebook.com/ministere.sante.ma
MAR,2021-03-19,4258813,2352348,,https://www.facebook.com/ministere.sante.ma
MAR,2021-03-20,4264168,2423380,,https://www.facebook.com/ministere.sante.ma
MAR,2021-03-20,4264168,2423380,,https://www.facebook.com/ministere.sante.ma
MAR,2021-03-22,4264761,2516742,,https://www.facebook.com/ministere.sante.ma
MAR,2021-03-23,4265196,2593204,,https://www.facebook.com/ministere.sante.ma
MAR,2021-03-24,4284060,2844916,,https://www.facebook.com/ministere.sante.ma
MRT,,,,,
OMN,,,,,
PSE,,,,,
QAT,2021-03-07,327582,,,
SAU,2021-03-14,2000000,,,
SOM,,,,,
SDN,,,,,
SSD,,,,,
SYR,,,,,
TUN,2021-03-21,12496,0,,https://www.facebook.com/santetunisie.rns.tn
TUN,2021-03-22,18020,0,,https://www.facebook.com/santetunisie.rns.tn
TUN,2021-03-23,22040,0,,https://www.facebook.com/santetunisie.rns.tn
YEM,,,,,
