Country,Sputnik,Date-Approved,CNBG,Date-Approved,Pfizer-BioNTech,Date-Approved,Astrazeneca,Date-Approved,Moderna,Date-Approved
ARE,Approved,2021-01-21,Approved,2020-09-15,Approved,2020-12-23,Approved,2021-02-02,Not-Approved,
BHR,Approved,2021-02-10,Approved,2020-12-13,Approved,2020-12-04,Approved,2021-01-27,Not-Approved,
DZA,Approved,2021-01-10,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
EGY,Approved,2021-02-24,Approved,2021-01-04,Not-Approved,,Approved,2021-02-01,Not-Approved,
IRQ,Not-Approved,,Approved,2021-01-19,Approved,2020-12-27,Approved,2021-01-19,Not-Approved,
ISR,Not-Approved,,Not-Approved,,Approved,,Approved,,Approved,2021-02-04,
JOR,Not-Approved,,Approved,2021-01-09,Approved,2020-12-15,Not-Approved,,Not-Approved,
KWT,Not-Approved,,Not-Approved,,Approved,2020-12-14,Approved,2021-01-29,Not-Approved,
LBN,Approved,2021-02-05,Not-Approved,,Approved,2021-01-15,Not-Approved,,Not-Approved,
LBY,None-Approved,,,,,,,,,
MAR,Not-Approved,,Approved,2021-01-22,Not-Approved,,Approved,2021-01-06,Approved,unkown
MRT,,,,,,,,,,
OMN,Not-Approved,,Not-Approved,,Approved,2020-12-05,Approved,2021-01-30,Approved,unkown
PSE,Approved,2021-01-22,Not-Approved,,Not-Approved,,Not-Approved,,Not-Approved,
QAT,Not-Approved,,Not-Approved,,Approved,202-12-20,Not-Approved,,Approved,2021-02-10
SAU,Not-Approved,,Not-Approved,,Approved,202-12-10,Approved,2021-01-18,Approved,2021-01-18
SOM,,,,,,,,,,
SDN,,,,,,,,,,
SSD,,,,,,,,,,
SYR,Approved,2021-02-22,Not-Approved,,Not-Aproved,,Not-Approved,,Not-Approved,
TUN,Approved,2021-01-30,Approved,2021-03-05,Approved,2021-01-2021,Approved,2021-02-26,Not-Approved,
YEM,None-Approved,,,,,,,,,
